Order ;Genus;Species;Name_in_Upham;Taxonomy note;In_Upham;DNA_in_Upham;Clade_Colonization_Scenario_1;Clade_Colonization_Scenario_2;Status_Species;Additional_range_note;Extinct/Extant;Subspecies;Other_Names;Common_Name;Family;References;Extinction_References
Chiroptera;Miniopterus;ambohitrensis;Miniopterus ambohitrensis;NA;Yes;No;Miniopterus;Miniopterus main clade;Endemic;NA;Extant;NA;Miniopterus manavi, Miniopterus aelleni;Montagne d’Ambre long-fingered Bat;Miniopteridae;"Upham et al., 2019; Goodman et al., 2015";NA
Chiroptera;Miniopterus;brachytragos;Miniopterus brachytragos;NA;Yes;No;Miniopterus;Miniopterus main clade;Endemic;NA;Extant;NA;NA;Short-tragus long-fingered bat;Miniopteridae;"Goodman et al., 2009; Christidis et al., 2014; Cardiff & Jenkins, 2016";NA
Chiroptera;Miniopterus;egeri;Miniopterus egeri;NA;Yes;No;Miniopterus;Miniopterus main clade;Endemic;NA;Extant;NA;NA;Eger's long-fingered bat;Miniopteridae;"Goodman et al. 2011; Christidis et al., 2014; Cardiff & Jenkins, 2016";NA
Chiroptera;Miniopterus;gleni;Miniopterus gleni;NA;Yes;Yes;Miniopterus;Miniopterus main clade;Endemic;NA;Extant;NA;NA;Glen's long-fingered bat;Miniopteridae;"Christidis et al., 2014; Goodman et al., 2010; Goodman & Jungers, 2014; Cardiff & Jenkins, 2016";NA
Chiroptera;Miniopterus;griffithsi;Miniopterus griffithsi;NA;Yes;Yes;Miniopterus;Miniopterus main clade;Endemic;NA;Extant;NA;NA;Griffith's long-fingered bat;Miniopteridae;"Goodman et al., 2010; Christidis et al., 2014; Reher et al., 2019; Cardiff & Jenkins, 2016";NA
Chiroptera;Miniopterus;griveaudi;Miniopterus griveaudi;NA;Yes;Yes;Miniopterus;Miniopterus_griveaudi;Non-endemic;Comoros;Extant;NA;NA;Griveaud's long-fingered bat;Miniopteridae;"Goodman et al., 2009; Christidis et al., 2014; Goodman et al., 2010c; Cardiff & Jenkins, 2016";NA
Chiroptera;Miniopterus;mahafaliensis;Miniopterus mahafaliensis;NA;Yes;No;Miniopterus;Miniopterus_mahafaliensis;Endemic;NA;Extant;NA;Miniopterus manavi;Mahafaly long-fingered bat;Miniopteridae;"Goodman et al., 2009; Christidis et al., 2014; Reher et al., 2019; Cardiff & Jenkins, 2016";NA
Chiroptera;Miniopterus;majori;Miniopterus majori;NA;Yes;Yes;Miniopterus;Miniopterus main clade;Endemic;NA;Extant;NA;NA;Major's long-fingered bat;Miniopteridae;"Goodman & Maminirina, 2007; Christidis et al., 2014; Goodman et al., 2010c; Cardiff & Jenkins, 2016";NA
Chiroptera;Miniopterus;manavi;Miniopterus manavi;NA;Yes;Yes;Miniopterus;Miniopterus main clade;Non-endemic;Comoros;Extant;NA;Miniopterus menavi;Manavi long-fingered bat;Miniopteridae;"Goodman et al., 2009; Christidis et al., 2014; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Miniopterus;petersoni;Miniopterus petersoni;NA;Yes;Yes;Miniopterus;Miniopterus main clade;Endemic;NA;Extant;NA;NA;Peterson's long-fingered bat;Miniopteridae;"Goodman et al., 2008; Christidis et al., 2014; Cardiff & Jenkins, 2016";NA
Chiroptera;Miniopterus;sororculus;Miniopterus sororculus;NA;Yes;No;Miniopterus;Miniopterus_sororculus;Endemic;NA;Extant;NA;Miniopterus fraterculus;Small sister long-fingered bat;Miniopteridae;"Goodman et al., 2007; Christidis et al., 2014; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Mops;leucostigma;Mops leucostigma;NA;Yes;Yes;Mops_leucostigma;Mops_leucostigma;Non-endemic;Comoros;Extant;NA;Chaerephon leucostigma, Tadarida leucostigma;Malagasy large white-bellied free-tailed bat;Molossidae;"Goodman et al., 2010c; Goodman, 2011; Cardiff & Jenkins, 2016; Goodman & Jungers, 2014";NA
Chiroptera;Mops;midas;Mops midas;NA;Yes;Yes;Mops_midas;Mops_midas;Non-endemic;Africa, Arabian Peninsula;Extant;miarensis;Tadarida midas, Mops unicolor, Dysopes midas;Midas' free-tailed bat;Molossidae;"Goodman, 2011; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Mormopterus;jugularis;Mormopterus jugularis;NA;Yes;Yes;Mormopterus;Mormopterus;Endemic;NA;Extant;NA;NA;Peters'  goblin bat;Molossidae;"Goodman, 2011; Cardiff & Jenkins, 2016; Goodman & Jungers, 2014";NA
Chiroptera;Myotis;goudoti;Myotis goudoti;NA;Yes;Yes;Myotis_goudoti;Myotis_goudoti;Endemic;NA;Extant;NA;NA;Malagasy mouse-eared bat;Vespertilionidae;"Dammhahn et al., 2019; Goodman, 2011; Cardiff & Jenkins, 2016; Goodman & Jungers, 2014";NA
Chiroptera;Myzopoda;aurita;Myzopoda aurita;NA;Yes;Yes;Myzopoda;Myzopoda;Endemic;NA;Extant;NA;NA;Eastern sucker-footed bat;Myzopodidae;"Goodman et al. 2007; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Myzopoda;schliemanni;Myzopoda schliemanni;NA;Yes;Yes;Myzopoda;Myzopoda;Endemic;NA;Extant;NA;NA;Schliemann's sucker-footed bat;Myzopodidae;"Goodman et al. 2007; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Neoromicia;bemainty;Hypsugo bemainty;Generic rearrangement;Yes;Yes;Neoromicia_bemainty;Neoromicia_bemainty;Endemic;NA;Extant;NA;Hypsugo anchietae;Dark Madagascar pipistrelle;Vespertilionidae;"Goodman et al., 2015b; Monadjem et al., 2020; Cardiff & Jenkins, 2016";NA
Chiroptera;Otomops;madagascariensis;Otomops madagascariensis;NA;Yes;Yes;Otomops_madagascariensis;Otomops_madagascariensis;Endemic;NA;Extant;NA;NA;Malagasy large-eared free-tailed bat;Molossidae;"Lamb et al. 2008; Goodman, 2011; Cardiff & Jenkins, 2016; Goodman & Jungers, 2014";NA
Chiroptera;Paratriaenops;auritus;Paratriaenops auritus;NA;Yes;Yes;Paratriaenops;Paratriaenops;Endemic;NA;Extant;NA;Triaenops auritus;Golden trident bat;Hipposideridae;"Russell et al., 2007; Benda & Vallo, 2009; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Paratriaenops;furculus;Paratriaenops furculus;NA;Yes;Yes;Paratriaenops;Paratriaenops;Endemic;NA;Extant;NA;Triaenops furculus;Trouessart's trident Bat;Hipposideridae;"Russell et al., 2007; Reher et al., 2019; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Paratriaenops;goodmani;NA;NA;No;No;Paratriaenops;Paratriaenops;Endemic;NA;Extinct;NA;Triaenops goodmani;NA;Hipposideridae;"Werdelin & Sanders, 2010; Goodman & Jungers, 2014";Samonds, 2007
Chiroptera;Paremballonura;atrata;Emballonura atrata;Generic rearrangement;Yes;Yes;Paremballonura;Paremballonura;Endemic;NA;Extant;NA;Emballonura atrata;Peters' sheath-tailed bat;Emballonuridae;"Werdelin & Sanders, 2010; Goodman et al., 2006; Cardiff & Jenkins, 2016; Goodman & Jungers, 2014";NA
Chiroptera;Paremballonura;tiavato;Emballonura tiavato;Generic rearrangement;Yes;Yes;Paremballonura;Paremballonura;Endemic;NA;Extant;NA;Emballonura tiavato;Rock-dwelling sheath-tailed bat;Emballonuridae;"Goodman et al., 2006; Goodman, 2011; Cardiff & Jenkins, 2016; Goodman & Jungers, 2014";NA
