Archipelago,Subfamily,Tribe,Genus,Species,Subspecies,Our_name,Native,Endemic,Extinct_extant,Phylo_available,Time_calibrated,Archipelago_clade,DAISIE_status,Sampled,Name_in_tree
Hawaii,Asteroideae,Madieae,Dubautia,plantaginea,subsp. humilis,Dubautia_plantaginea_humilis,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_plantaginea_subsp._humilis
Hawaii,Asteroideae,Madieae,Dubautia,plantaginea,subsp. magnifolia,Dubautia_plantaginea_magnifolia,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_plantaginea_subsp._magnifolia
Hawaii,Asteroideae,Madieae,Dubautia,plantaginea,subsp. plantaginea,Dubautia_plantaginea_plantaginea,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_plantaginea_subsp._plantaginea
Hawaii,Asteroideae,Madieae,Dubautia,platyphylla,NA,Dubautia_platyphylla,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_platyphylla
Hawaii,Asteroideae,Madieae,Dubautia,raillardioides,NA,Dubautia_raillardioides,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_raillardioides
Hawaii,Asteroideae,Madieae,Dubautia,reticulata,NA,Dubautia_reticulata,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_reticulata
Hawaii,Asteroideae,Madieae,Dubautia,scabra,subsp. leiophylla,Dubautia_scabra_leiophylla,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_scabra_subsp._leiophylla
Hawaii,Asteroideae,Madieae,Dubautia,scabra,subsp. scabra,Dubautia_scabra_scabra,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_scabra_subsp._scabra
Hawaii,Asteroideae,Madieae,Dubautia,sherffiana,NA,Dubautia_sherffiana,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_sherffiana
Hawaii,Asteroideae,Madieae,Dubautia,syndetica,NA,Dubautia_syndetica,Native,Endemic,Extant,Yes_clade,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,waialealae,NA,Dubautia_waialealae,Native,Endemic,Extant,Yes_clade,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,waianapanapaensis,NA,Dubautia_waianapanapaensis,Native,Endemic,Extant,Yes_clade,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Wilkesia,gymnoxiphium,NA,Wilkesia_gymnoxiphium,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Wilkesia_gymnoxiphium
Hawaii,Asteroideae,Madieae,Wilkesia,hobdyi,NA,Wilkesia_hobdyi,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Wilkesia_hobdyi
Hawaii,Asteroideae,Astereae,Tetramolopium,humile,subsp. haleakalae,Tetramolopium_humile_haleakalae,Native,Endemic,Extant,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,humile,subsp. humile,Tetramolopium_humile_humile,Native,Endemic,Extant,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,lepidotum,subsp. lepidotum,Tetramolopium_lepidotum_lepidotum,Native,Endemic,Extant,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,remyi,NA,Tetramolopium_remyi,Native,Endemic,Extant,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,rockii,NA,Tetramolopium_rockii,Native,Endemic,Extant,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,arenarium,subsp. laxum,Tetramolopium_arenarium_laxum,Native,Endemic,Extinct,Yes_clade,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,arenarium,subsp. arenarium,Tetramolopium_arenarium_arenarium,Native,Endemic,Extant,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,capillare,NA,Tetramolopium_capillare,Native,Endemic,Extinct,Yes_clade,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,consanguineum,subsp. leptophyllum,Tetramolopium_consanguineum_leptophyllum,Native,Endemic,Extinct,Yes_clade,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,consanguineum,subsp. consanguineum,Tetramolopium_consanguineum_consanguineum,Native,Endemic,Extinct,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,conyzoides,NA,Tetramolopium_conyzoides,Native,Endemic,Extinct,Yes_clade,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,filiforme,NA,Tetramolopium_filiforme,Native,Endemic,Extant,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,lepidotum,subsp. arbusculum,Tetramolopium_lepidotum_arbusculum,Native,Endemic,Extinct,Yes_clade,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,sylvae,NA,Tetramolopium_sylvae,Native,Endemic,Extant,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Astereae,Tetramolopium,tenerrimum,NA,Tetramolopium_tenerrimum,Native,Endemic,Extinct,Yes_species,Not_dated,Tetramolopium,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Lipochaeta,connata,subsp. acris,Lipochaeta_connata_acris,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Lipochaeta,connata,subsp. connata,Lipochaeta_connata_connata,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Lipochaeta,degeneri,NA,Lipochaeta_degeneri,Native,Endemic,Extinct,Yes_clade,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Lipochaeta,heterophylla,NA,Lipochaeta_heterophylla,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Lipochaeta,lobata,subsp. leptophylla,Lipochaeta_lobata_leptophylla,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Lipochaeta,lobata,subsp. lobata,Lipochaeta_lobata_lobata,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Lipochaeta,rockii,NA,Lipochaeta_rockii,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Lipochaeta,succulenta,NA,Lipochaeta_succulenta,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,bryanii,NA,Melanthera_bryanii,Native,Endemic,Extinct,Yes_clade,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,fauriei,NA,Melanthera_fauriei,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,integrifolia,NA,Melanthera_integrifolia,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,kamolensis,NA,Melanthera_kamolensis,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,lavarum,NA,Melanthera_lavarum,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,micrantha,subsp. micrantha,Melanthera_micrantha_micrantha,Native,Endemic,Extant,Yes_clade,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
